State,sq miles
Alabama,52420.00
Alaska,665384.00
Arizona,113990.00
Arkansas,53179.00
California,163695.00
Colorado,104094.00
Connecticut,5543.00
Delaware,2489.00
Florida,65758.00
Georgia,59425.00
Hawaii,10932.00
Idaho,83569.00
Illinois,57914.00
Indiana,36420.00
Iowa,56273.00
Kansas,82278.00
Kentucky,40408.00
Louisiana,52378.00
Maine,35380.00
Maryland,12406.00
Massachusetts,10554.00
Michigan,96714.00
Minnesota,86936.00
Mississippi,48432.00
Missouri,69707.00
Montana,147040.00
Nebraska,77348.00
Nevada,110572.00
New Hampshire,9349.00
New Jersey,8723.00
New Mexico,121590.00
New York,54555.00
North Carolina,53819.00
North Dakota,70698.00
Ohio,44826.00
Oklahoma,69899.00
Oregon,98379.00
Pennsylvania,46054.00
Rhode Island,1545.00
South Carolina,32020.00
South Dakota,77116.00
Tennessee,42144.00
Texas,268596.00
Utah,84897.00
Vermont,9616.00
Virginia,42775.00
Washington,71298.00
West Virginia,24230.00
Wisconsin,65496.00
Wyoming,97813.00
