State,Index,-
Alabama,90.2,
Alaska,131.9,
Arizona,96,
Arkansas,87.7,
California,140.5,
Colorado,104,
Connecticut,124.9,
Delaware,103.5,
Florida,98.9,
Georgia,91.1,
Hawaii,188.4,
Idaho,93.3,
Illinois,96.6,
Indiana,92.5,
Iowa,90,
Kansas,90.7,
Kentucky,93.7,
Louisiana,93.9,
Maine,113.5,
Maryland,128.4,
Massachusetts,127.3,
Michigan,89,
Minnesota,99,
Mississippi,84.2,
Missouri,89.2,
Montana,101.2,
Nebraska,92.3,
Nevada,106.6,
New Hampshire,113.7,
New Jersey,120.5,
New Mexico,92.5,
New York,134.1,
North Carolina,93.9,
North Dakota,99.9,
Ohio,91.7,
Oklahoma,89.3,
Oregon,125.7,
Pennsylvania,101.5,
Rhode Island,123,
South Carolina,98.4,
South Dakota,95.7,
Tennessee,90.1,
Texas,91.6,
Utah,96.7,
Vermont,120.2,
Virginia,101.9,
Washington,107.6,
West Virginia,96.8,
Wisconsin,95.6,
Wyoming,95.5,
