State,2017 Population,,,
Alabama,4.09491E-07,,4884115,2
Alaska,1.34916E-06,,741204,1
Arizona,6.97347E-06,,7026629,49
Arkansas,6.66457E-07,,3000942,2
California,4.71771E-06,,39849872,188
Colorado,3.53448E-06,,5658546,20
Connecticut,2.51177E-06,,3583134,9
Delaware,0,,965866,0
Florida,6.66582E-07,,21002678,14
Georgia,1.33967E-06,,10450316,7
Hawaii,4.81333E-06,,1454295,-1
Idaho,-5.89909E-07,,1695178,6
Illinois,4.68179E-07,,12815607,16
Indiana,2.40122E-06,,6663280,14
Iowa,4.44059E-06,,3152735,1
Kansas,3.41308E-07,,2929909,8
Kentucky,1.79774E-06,,4450042,19
Louisiana,4.03038E-06,,4714192,5
Maine,3.76656E-06,,1327472,13
Maryland,2.14221E-06,,6068511,7
Massachusetts,1.01848E-06,,6873018,81
Michigan,8.1529E-06,,9935116,51
Minnesota,9.18169E-06,,5554532,31
Mississippi,1.03675E-05,,2990113,-1
Missouri,-1.63309E-07,,6123362,8
Montana,7.60208E-06,,1052343,2
Nebraska,1.04025E-06,,1922610,7
Nevada,2.33647E-06,,2995973,17
New Hampshire,1.27262E-05,,1335832,2
New Jersey,2.22312E-07,,8996351,33
New Mexico,1.58335E-05,,2084193,3
New York,1.50832E-07,,19889657,104
North Carolina,1.01487E-05,,10247632,37
North Dakota,4.67939E-05,,790701,4
Ohio,3.43458E-07,,11646273,58
Oklahoma,1.4592E-05,,3974794,7
Oregon,1.68897E-06,,4144527,11
Pennsylvania,8.58036E-07,,12819975,11
Rhode Island,1.03864E-05,,1059080,5
South Carolina,9.94012E-07,,5030118,7
South Dakota,8.0571E-06,,868799,5
Tennessee,7.45674E-07,,6705339,26
Texas,9.1391E-07,,28449186,41
Utah,1.32311E-05,,3098761,7
Vermont,1.12073E-05,,624592,2
Virginia,2.35494E-07,,8492783,24
Washington,3.24995E-06,,7384721,57
West Virginia,3.10647E-05,,1834882,6
Wisconsin,1.03535E-06,,5795147,7
Wyoming,1.18702E-05,,589713,0
