State,2017 Population,-,,
Alabama,1.64E-06,,4884115,8
Alaska,9.44E-06,,741204,7
Arizona,2.31E-05,,7026629,162
Arkansas,1.00E-06,,3000942,3
California,1.07E-05,,39849872,427
Colorado,1.15E-05,,5658546,65
Connecticut,1.73E-05,,3583134,62
Delaware,9.32E-06,,965866,9
Florida,2.09E-06,,21002678,44
Georgia,4.21E-06,,10450316,32
Hawaii,2.20E-05,,1454295,-1
Idaho,-5.90E-07,,1695178,14
Illinois,1.09E-06,,12815607,59
Indiana,8.85E-06,,6663280,43
Iowa,1.36E-05,,3152735,3
Kansas,1.02E-06,,2929909,46
Kentucky,1.03E-05,,4450042,113
Louisiana,2.40E-05,,4714192,22
Maine,1.66E-05,,1327472,16
Maryland,2.64E-06,,6068511,22
Massachusetts,3.20E-06,,6873018,198
Michigan,1.99E-05,,9935116,198
Minnesota,3.56E-05,,5554532,58
Mississippi,1.94E-05,,2990113,-1
Missouri,-1.63E-07,,6123362,70
Montana,6.65E-05,,1052343,28
Nebraska,1.46E-05,,1922610,10
Nevada,3.34E-06,,2995973,36
New Hampshire,2.69E-05,,1335832,8
New Jersey,8.89E-07,,8996351,169
New Mexico,8.11E-05,,2084193,8
New York,4.02E-07,,19889657,136
North Carolina,1.33E-05,,10247632,106
North Dakota,0.000134058,,790701,29
Ohio,2.49E-06,,11646273,309
Oklahoma,7.77E-05,,3974794,27
Oregon,6.51E-06,,4144527,41
Pennsylvania,3.20E-06,,12819975,40
Rhode Island,3.78E-05,,1059080,6
South Carolina,1.19E-06,,5030118,44
South Dakota,5.06E-05,,868799,9
Tennessee,1.34E-06,,6705339,157
Texas,5.52E-06,,28449186,107
Utah,3.45E-05,,3098761,29
Vermont,4.64E-05,,624592,5
Virginia,5.89E-07,,8492783,108
Washington,1.46E-05,,7384721,160
West Virginia,8.72E-05,,1834882,28
Wisconsin,4.83E-06,,5795147,27
Wyoming,4.58E-05,,589713,2
