State,2017 Population,,,
Alabama,0,,4884115,0
Alaska,0,,741204,0
Arizona,7.40042E-06,,7026629,52
Arkansas,0,,3000942,0
California,4.79299E-06,,39849872,191
Colorado,2.82758E-06,,5658546,16
Connecticut,5.30262E-06,,3583134,19
Delaware,2.07068E-06,,965866,2
Florida,6.18969E-07,,21002678,13
Georgia,1.24398E-06,,10450316,-1
Hawaii,-6.87618E-07,,1454295,5
Idaho,2.94954E-06,,1695178,12
Illinois,9.36358E-07,,12815607,12
Indiana,1.80091E-06,,6663280,9
Iowa,2.85466E-06,,3152735,1
Kansas,3.41308E-07,,2929909,8
Kentucky,1.79774E-06,,4450042,53
Louisiana,1.12426E-05,,4714192,11
Maine,8.28643E-06,,1327472,9
Maryland,1.48307E-06,,6068511,14
Massachusetts,2.03695E-06,,6873018,81
Michigan,8.1529E-06,,9935116,48
Minnesota,8.64159E-06,,5554532,20
Mississippi,6.68871E-06,,2990113,19
Missouri,3.10287E-06,,6123362,-1
Montana,-9.50261E-07,,1052343,14
Nebraska,7.28177E-06,,1922610,1
Nevada,3.33781E-07,,2995973,5
New Hampshire,3.74299E-06,,1335832,3
New Jersey,3.33469E-07,,8996351,125
New Mexico,5.99753E-05,,2084193,2
New York,1.00555E-07,,19889657,256
North Carolina,2.49814E-05,,10247632,17
North Dakota,2.14999E-05,,790701,3
Ohio,2.57593E-07,,11646273,39
Oklahoma,9.81183E-06,,3974794,3
Oregon,7.23846E-07,,4144527,9
Pennsylvania,7.02029E-07,,12819975,12
Rhode Island,1.13306E-05,,1059080,7
South Carolina,1.39162E-06,,5030118,2
South Dakota,2.30203E-06,,868799,2
Tennessee,2.9827E-07,,6705339,28
Texas,9.84211E-07,,28449186,36
Utah,1.16175E-05,,3098761,11
Vermont,1.76115E-05,,624592,0
Virginia,0,,8492783,24
Washington,3.24995E-06,,7384721,43
West Virginia,2.34347E-05,,1834882,3
Wisconsin,5.17675E-07,,5795147,8
Wyoming,1.35659E-05,,589713,0
