State,Unemployment Rate,-
Alabama,3.8,
Alaska,7.2,
Arizona,4.7,
Arkansas,3.5,
California,5.1,
Colorado,2.5,
Connecticut,4.6,
Delaware,4.9,
Florida,3.8,
Georgia,4.5,
Hawaii,2.5,
Idaho,2.8,
Illinois,5,
Indiana,3.8,
Iowa,3.2,
Kansas,3.8,
Kentucky,5.2,
Louisiana,5.1,
Maine,3.7,
Maryland,3.8,
Massachusetts,3.9,
Michigan,4.3,
Minnesota,3.7,
Mississippi,5.2,
Missouri,3.8,
Montana,3.9,
Nebraska,2.8,
Nevada,4.9,
New Hampshire,2.7,
New Jersey,4.7,
New Mexico,6.2,
New York,4.9,
North Carolina ,4.1,
North Dakota,2.4,
Ohio,5.3,
Oklahoma,4.5,
Oregon,4.2,
Pennsylvania,4.8,
Puerto Rico,-1,
Rhode Island,4.2,
South Carolina,3.9,
South Dakota,3.4,
Tennessee,3,
Texas,4,
Utah,3.4,
Vermont,2.9,
Virginia,3.7,
Washington,4.6,
West Virginia,3.7,
Wisconsin,3.5,
Wyoming,4,
